Algorithm name	Graph filename	Agents filename	Result	Run time
Christofides	graph10_1	agent0	1844,76	5,3819
Christofides	graph10_1	agent0	1847,35	5,3683
Christofides	graph10_1	agent0	2008,54	5,2164
Christofides	graph10_1	agent0	1847,35	5,6913
Christofides	graph10_1	agent0	2008,54	11,4679
Christofides	graph10_1	agent0	2008,54	4,9314
Christofides	graph10_1	agent0	1844,76	5,9895
Christofides	graph10_1	agent0	2005,95	6,9691
Christofides	graph10_1	agent0	1844,76	5,7779
Christofides	graph10_1	agent0	2005,95	6,7498
Christofides	graph10_1	agent0	2005,95	10,048
Christofides	graph10_1	agent0	1844,76	9,9178
Christofides	graph10_1	agent0	2005,95	5,2761
Christofides	graph10_1	agent0	1844,76	4,7505
Christofides	graph10_1	agent0	2008,54	4,6813
Christofides	graph10_1	agent0	2008,54	7,822
Christofides	graph10_1	agent0	1847,35	8,6289
Christofides	graph10_1	agent0	2008,54	10,4166
Christofides	graph10_1	agent0	1844,76	7,633
Christofides	graph10_1	agent0	2005,95	4,3989
Christofides	graph10_1	agent0	1847,35	4,6225
Christofides	graph10_1	agent0	1844,76	4,3942
Christofides	graph10_1	agent0	1847,35	4,2491
Christofides	graph10_1	agent0	2008,54	4,3588
Christofides	graph10_1	agent0	2008,54	4,2402
Christofides	graph10_1	agent0	1847,35	4,7748
Christofides	graph10_1	agent0	1847,35	4,3985
Christofides	graph10_1	agent0	1847,35	5,882
Christofides	graph10_1	agent0	1844,76	5,4327
Christofides	graph10_1	agent0	2005,95	8,0968
Christofides	graph10_1	agent0	1844,76	4,122
Christofides	graph10_1	agent0	2008,54	4,3451
Christofides	graph10_1	agent0	1847,35	4,5653
Christofides	graph10_1	agent0	1844,76	5,8841
Christofides	graph10_1	agent0	1847,35	4,782
Christofides	graph10_1	agent0	1844,76	8,1053
Christofides	graph10_1	agent0	2005,95	4,5896
Christofides	graph10_1	agent0	2008,54	4,3451
Christofides	graph10_1	agent0	2008,54	4,3246
Christofides	graph10_1	agent0	2008,54	4,142
Christofides	graph10_1	agent0	1847,35	8,0537
Christofides	graph10_1	agent0	1847,35	4,7628
Christofides	graph10_1	agent0	2008,54	4,7291
Christofides	graph10_1	agent0	2008,54	7,8391
Christofides	graph10_1	agent0	1847,35	6,8684
Christofides	graph10_1	agent0	1844,76	10,3603
Christofides	graph10_1	agent0	1847,35	5,1477
Christofides	graph10_1	agent0	1844,76	4,5
Christofides	graph10_1	agent0	1844,76	4,2103
Christofides	graph10_1	agent0	1847,35	7,9654
Christofides	graph10_1	agent0	2005,95	6,0019
Christofides	graph10_1	agent0	1847,35	8,1373
Christofides	graph10_1	agent0	1847,35	5,9477
Christofides	graph10_1	agent0	1847,35	8,6088
Christofides	graph10_1	agent0	2008,54	7,6902
Christofides	graph10_1	agent0	1847,35	5,6038
Christofides	graph10_1	agent0	1847,35	4,3302
Christofides	graph10_1	agent0	1844,76	4,1813
Christofides	graph10_1	agent0	1844,76	4,4245
Christofides	graph10_1	agent0	2005,95	4,788
Christofides	graph10_1	agent0	1844,76	4,352
Christofides	graph10_1	agent0	2008,54	5,6174
Christofides	graph10_1	agent0	2005,95	5,611
Christofides	graph10_1	agent0	1844,76	5,6925
Christofides	graph10_1	agent0	2008,54	6,3513
Christofides	graph10_1	agent0	1847,35	7,7196
Christofides	graph10_1	agent0	2005,95	4,9642
Christofides	graph10_1	agent0	1844,76	4,3669
Christofides	graph10_1	agent0	2008,54	4,3942
Christofides	graph10_1	agent0	1847,35	4,2939
Christofides	graph10_1	agent0	1844,76	4,1194
Christofides	graph10_1	agent0	1844,76	4,9984
Christofides	graph10_1	agent0	2005,95	9,4182
Christofides	graph10_1	agent0	1847,35	10,1393
Christofides	graph10_1	agent0	1847,35	5,8094
Christofides	graph10_1	agent0	1844,76	12,73
Christofides	graph10_1	agent0	1847,35	4,7189
Christofides	graph10_1	agent0	1847,35	4,1395
Christofides	graph10_1	agent0	2008,54	4,5811
Christofides	graph10_1	agent0	2008,54	4,5499
Christofides	graph10_1	agent0	1844,76	5,3435
Christofides	graph10_1	agent0	1847,35	5,6571
Christofides	graph10_1	agent0	2005,95	4,2001
Christofides	graph10_1	agent0	1847,35	4,375
Christofides	graph10_1	agent0	2008,54	4,113
Christofides	graph10_1	agent0	2005,95	6,5757
Christofides	graph10_1	agent0	1847,35	7,3557
Christofides	graph10_1	agent0	1844,76	6,7387
Christofides	graph10_1	agent0	1844,76	5,5291
Christofides	graph10_1	agent0	2008,54	5,7698
Christofides	graph10_1	agent0	2008,54	6,816
Christofides	graph10_1	agent0	1844,76	4,8017
Christofides	graph10_1	agent0	2005,95	5,134
Christofides	graph10_1	agent0	2005,95	5,9409
Christofides	graph10_1	agent0	1844,76	4,8345
Christofides	graph10_1	agent0	1847,35	4,5124
Christofides	graph10_1	agent0	1844,76	5,297
Christofides	graph10_1	agent0	2008,54	6,6419
Christofides	graph10_1	agent0	1847,35	4,381
Christofides	graph10_1	agent0	1844,76	5,355
Christofides	graph10_1	agent0	2005,95	5,4135
Christofides	graph10_1	agent0	2008,54	7,3856
Christofides	graph10_1	agent0	2008,54	8,0524
Christofides	graph10_1	agent0	2008,54	7,767
Christofides	graph10_1	agent0	2005,95	7,1351
Christofides	graph10_1	agent0	1844,76	6,0727
Christofides	graph10_1	agent0	1844,76	6,6615
Christofides	graph10_1	agent0	1844,76	9,3341
Christofides	graph10_1	agent0	1847,35	5,1067
Christofides	graph10_1	agent0	1847,35	4,4373
Christofides	graph10_1	agent0	1847,35	4,1928
Christofides	graph10_1	agent0	1847,35	4,1416
Christofides	graph10_1	agent0	2008,54	5,4114
Christofides	graph10_1	agent0	1844,76	6,0906
Christofides	graph10_1	agent0	2005,95	5,3764
Christofides	graph10_1	agent0	2008,54	6,9508
Christofides	graph10_1	agent0	1844,76	6,8206
Christofides	graph10_1	agent0	1847,35	5,3943
Christofides	graph10_1	agent0	1844,76	4,7936
Christofides	graph10_1	agent0	2008,54	4,1911
Christofides	graph10_1	agent0	1847,35	4,7808
Christofides	graph10_1	agent0	1847,35	4,1941
Christofides	graph10_1	agent0	1844,76	4,1706
Christofides	graph10_1	agent0	2005,95	6,4243
Christofides	graph10_1	agent0	2008,54	9,8517
Christofides	graph10_1	agent0	2008,54	4,8584
Christofides	graph10_1	agent0	2005,95	6,1205
Christofides	graph10_1	agent0	2008,54	5,1959
Christofides	graph10_1	agent0	2008,54	7,674
Christofides	graph10_1	agent0	1844,76	6,2912
Christofides	graph10_1	agent0	2005,95	4,3622
Christofides	graph10_1	agent0	1844,76	9,7937
Christofides	graph10_1	agent0	2005,95	11,0651
Christofides	graph10_1	agent0	1844,76	10,5864
Christofides	graph10_1	agent0	2008,54	6,7413
Christofides	graph10_1	agent0	1847,35	4,4356
Christofides	graph10_1	agent0	2008,54	5,1063
Christofides	graph10_1	agent0	2008,54	5,3179
Christofides	graph10_1	agent0	2008,54	7,4257
Christofides	graph10_1	agent0	2008,54	4,8908
Christofides	graph10_1	agent0	2005,95	4,6438
Christofides	graph10_1	agent0	2005,95	5,4707
Christofides	graph10_1	agent0	1844,76	6,1858
Christofides	graph10_1	agent0	1847,35	7,9018
Christofides	graph10_1	agent0	2005,95	4,6062
Christofides	graph10_1	agent0	1847,35	4,7342
Christofides	graph10_1	agent0	1847,35	4,2299
Christofides	graph10_1	agent0	2008,54	5,7096
