Algorithm name	Graph filename	Agents filename	Result	Run time
Christofides	graph10_1	agent0	2096,54	83,8818
Christofides	graph10_1	agent0	2096,54	15,2742
Christofides	graph10_1	agent0	2093,95	9,5342
Christofides	graph10_1	agent0	2093,95	28,3562
Christofides	graph10_1	agent0	2257,73	7,0451
Christofides	graph10_1	agent0	2255,14	4,8046
Christofides	graph10_1	agent0	2255,14	6,336
Christofides	graph10_1	agent0	2093,95	6,0002
Christofides	graph10_1	agent0	2257,73	14,2754
Christofides	graph10_1	agent0	2255,14	4,7607
Christofides	graph10_1	agent0	2093,95	4,3899
Christofides	graph10_1	agent0	2096,54	4,7961
Christofides	graph10_1	agent0	2096,54	5,7476
Christofides	graph10_1	agent0	2096,54	7,063
Christofides	graph10_1	agent0	2257,73	5,9042
Christofides	graph10_1	agent0	2255,14	4,5009
Christofides	graph10_1	agent0	2255,14	4,3165
Christofides	graph10_1	agent0	2255,14	6,7328
Christofides	graph10_1	agent0	2257,73	8,0226
Christofides	graph10_1	agent0	2255,14	7,2268
Christofides	graph10_1	agent0	2096,54	5,4835
Christofides	graph10_1	agent0	2257,73	9,2603
Christofides	graph10_1	agent0	2257,73	24,7872
Christofides	graph10_1	agent0	2257,73	5,6524
Christofides	graph10_1	agent0	2257,73	7,0173
Christofides	graph10_1	agent0	2093,95	9,4907
Christofides	graph10_1	agent0	2096,54	15,2388
Christofides	graph10_1	agent0	2257,73	7,2486
Christofides	graph10_1	agent0	2093,95	4,9949
Christofides	graph10_1	agent0	2255,14	5,2714
Christofides	graph10_1	agent0	2093,95	5,3486
Christofides	graph10_1	agent0	2255,14	7,5596
Christofides	graph10_1	agent0	2096,54	5,5816
Christofides	graph10_1	agent0	2257,73	6,6636
Christofides	graph10_1	agent0	2255,14	6,3581
Christofides	graph10_1	agent0	2096,54	6,5766
Christofides	graph10_1	agent0	2255,14	13,1916
Christofides	graph10_1	agent0	2096,54	4,2282
Christofides	graph10_1	agent0	2096,54	4,311
Christofides	graph10_1	agent0	2255,14	5,7459
Christofides	graph10_1	agent0	2096,54	5,6362
Christofides	graph10_1	agent0	2255,14	9,143
Christofides	graph10_1	agent0	2255,14	4,2496
Christofides	graph10_1	agent0	2096,54	5,2962
Christofides	graph10_1	agent0	2255,14	7,5673
Christofides	graph10_1	agent0	2255,14	6,1141
Christofides	graph10_1	agent0	2093,95	6,2562
Christofides	graph10_1	agent0	2093,95	5,5142
Christofides	graph10_1	agent0	2093,95	8,6173
Christofides	graph10_1	agent0	2255,14	5,5415
